Oinwe	Ve.
Katanwe	Vete.
Kawe	Vaya.
Jawekeskarin	Hola.
¡Ishtowe!	¡Corre!
¿Tsoa?	¿Quién?
¡Chi!	¡Fuego!
¡Menota!	¡Incendio!
¡Akinwe!	¡Ayuda!
¡Ea akinwe! ¡Ea akinwe!	¡Socorro! ¡Auxilio!
¡Ea akinwe!	¡Auxilio!
¡Choronwe!	¡Salta!
Chankawe	¡Parad!
¡Banewe!	¡Para!
¡Jainbi banewe!	¡Pare!
¡Manawe!	¡Espera!
Manakanwe	Esperen.
Kareskanwe	Continúa.
Moara en ninkake	Lo intento.
¡Enra kananke!	¡He ganado!
¡Jaskayamawe!	¡Oh, no!
Osanwe	Sonríe.
¡Anon ikanwe!	¡Al ataque!
Weniwe	Levanta.
¡Eara jaya iki!	¡Lo tengo!
¿Jaskaakin ayamawe?	¿Lo pillas?
¿Min ninkata?	¿Entendiste?
Jara ishtoke	Él corrió.
Chicho niawe	Métete adentro.
Ea ikowe	Abrázame.
Eara pakeke	Me caí.
Pikoke	Salí.
Eara jansoke	Mentí.
Enra manomake	Perdí.
Eara tee ikainkoniax pikoke	Renuncié.
Teeti riki ea	Estoy trabajando.
westiora iskonya riki ea	Tengo diecinueve.
Chankata riki ea	Estoy levantado.
Ninkawe	Escucha.
Ninkakanwe	Escuche.
Ninkakanwe	Escuchen.
¡Atikoma riki!	¡Imposible!
¡Makoabo!	¡Mangos!
¡Minka!	¡Minga!
¿Ikon?	¿En serio?
¿Ikonrin?	¿La verdad?
¡Irake!	¡Gracias!
Irake	Gracias.
Tanawe	Pruébalo.
Nonra masa shinanxonai	Lo procuramos.
Nonra kananke	Ganamos.
Jakonres iwe	Estate tranquilo.
Jakon jaweki akai iwe	Sé justo.
Jakon akin awe	Sean gentiles.
Irake ikai iwe	Sé agradable.
Ea kenawe	Llamame.
Ea kenawe	Llámame.
Noa kenawe	Llámanos.
Jikiwe	Entre.
Jikiwe	Pase.
¡Jikikanwe!	¡Entren!
Jenewe	Suéltalo.
Pakewe	Bájate.
Pikowe	Sal.
Pikokanwe	Salgan.
¡Katanwe!	¡Largo!
¡Katanwe moa!	¡Vete ya!
Katanwe	Lárguese.
Jainmacha kawe	Vaya despacio.
¡Eara jopariai!	¡Hasta luego!
¡Eara kapariai!	¡Chau!
¡Westiora sere!	¡Un segundo!
Koshi yatanwe	Agarra fuertemente.
Jara joibake	Él vino.
Janra tee jeneibake	Él renunció.
Ea akinwe	Ayúdame.
Ea akinwe	Ayudame.
Noa akinwe	Ayúdanos.
Manawe	Espera.
Tenewe	Resista.
Tenewe	Resiste.
Jakon	De acuerdo.
Okera ea kake	Me incliné.
Oxarake ea	Dormí.
Enra aibake	Lo intenté.
Eara kai	Iré.
Tom riki ea	Soy Tom.
Xoa riki ea	Estoy gordo.
Xoa riki ea	Soy gorda.
Eara jaskara ribi iki	Estoy afectado.
Yosi riki ea	Soy viejo.
Rabin riki ea	Soy tímido.
Mecha riki ea	Estoy mojada.
Jakon riki	Está bien.
Ea riki	Soy yo.
Benxoawe	Guárdalo.
Ea ribi	Yo, también.
Kepenwe	Abre.
¡Jakon riki!	¡Perfecto!
Eara jopariai	Nos vemos.
Ea oinmawe	Enséñamelo.
Ea oinmawe	Mostrame.
Kabanon	Hasta luego.
Chankanwe	Páralo.
